competency,question_group,gpa_name
Authentic leadership,leadership,grandslam
Succession planning,leadership,grandslam
Visionary,leadership,grandslam
Self awareness,leadership,grandslam
Strategic thinking,leadership,functional
Executive presence,leadership,functional
Emotional intelligence,leadership,functional
Mission-minded,leadership,functional
Public speaking,leadership,positional
Adaptability,leadership,positional
Decision-making,leadership,positional
Collaborative and Inclusive,leadership,positional
Relationship management,influence,grandslam
political savvy,influence,grandslam
Communication,influence,grandslam
Change management,influence,grandslam
Emotional intelligence,influence,functional
Adaptability,influence,functional
Complex problem solving,influence,functional
Collaborative and Inclusive,influence,functional
Agile,influence,positional
Customer service,influence,positional
Attentive listener,influence,positional
Proficient generalist,influence,positional
Team building,performance,grandslam
talent development,performance,grandslam
Business acumen,performance,grandslam
Pace-setter,performance,grandslam
Strategic thinking,performance,functional
Metrics and Evaluation,performance,functional
Critical Thinking,performance,functional
Decision making,performance,functional
Agile,performance,positional
Critical thinking,performance,positional
Adaptability,performance,positional
Project management,performance,positional
